name;open;high;low;close;volume;marketCap;timestamp
"2783";0.504378582;0.504378582;0.4845165888;0.4942072507;1405132797.8131227;44065393422.167885;"2023-12-18T00:00:00.000Z"
"2783";0.4942400972;0.4971193351;0.4865529111;0.4896159954;1017416768.1625494;43537352607.85815;"2023-12-19T00:00:00.000Z"
"2783";0.4895875792;0.5052776614;0.4895875792;0.5048718305;990809089.3162875;44185745405.11706;"2023-12-20T00:00:00.000Z"
"2783";0.5049007798;0.5156314903;0.5049007798;0.5111346715;1014466640.996278;45475551669.746185;"2023-12-21T00:00:00.000Z"
"2783";0.5111246116;0.5111246116;0.5062762184;0.5108236352;1015440777.2479793;45366979667.88604;"2023-12-22T00:00:00.000Z"
"2783";0.5108390599;0.5199075619;0.5063694249;0.5188370294;983062643.4475049;45845826919.93871;"2023-12-23T00:00:00.000Z"
"2783";0.5188956026;0.5223722663;0.5132792648;0.5170588378;1095317913.0511377;45678639387.57654;"2023-12-24T00:00:00.000Z"
"2783";0.5170661272;0.5301398691;0.5170661272;0.5182725936;1269102871.4125798;45488428748.000725;"2023-12-25T00:00:00.000Z"
"2783";0.5182643802;0.5206455882;0.493673901;0.4962577268;1417556778.3807535;44550316004.93184;"2023-12-26T00:00:00.000Z"
"2783";0.4962730807;0.5091553652;0.494025716;0.5088840362;1036643975.1232281;44836958643.82966;"2023-12-27T00:00:00.000Z"
"2783";0.5089165398;0.5144075462;0.5058739095;0.5123729845;1216119217.416428;45032581681.717735;"2023-12-28T00:00:00.000Z"
"2783";0.5123389948;0.518365839;0.5091061486;0.5128559885;1190550893.827256;45291584584.10552;"2023-12-29T00:00:00.000Z"
"2783";0.5128436907;0.5191881718;0.51095573;0.5142938962;959759481.062625;45423717574.053856;"2023-12-30T00:00:00.000Z"
"2783";0.5142707575;0.5287196666;0.5131267352;0.5224780009;1000631113.6674;46145106761.58513;"2023-12-31T00:00:00.000Z"
"2783";0.5225456377;0.5255321299;0.5157055201;0.5233095785;955256034.6440009;46202866748.87447;"2024-01-01T00:00:00.000Z"
"2783";0.523333823;0.5365525659;0.522796232;0.5335624274;1379049311.8888574;46449958066.04315;"2024-01-02T00:00:00.000Z"
"2783";0.5336217596;0.5413671231;0.5110985428;0.5256243136;2040595919.356366;46448118658.19237;"2024-01-03T00:00:00.000Z"
"2783";0.5256337532;0.5347214849;0.5244278678;0.5244278678;1375755316.2297091;46526564416.06385;"2024-01-04T00:00:00.000Z"
"2783";0.5243948414;0.5250735685;0.5045242745;0.5092519041;1339918613.120502;45165955402.751656;"2024-01-05T00:00:00.000Z"
"2783";0.5092581308;0.5093683422;0.4973852953;0.5065529455;1011137744.641628;44726292921.66258;"2024-01-06T00:00:00.000Z"
"2783";0.5065334102;0.5078318699;0.5011766862;0.5018536402;820215238.6256394;44281532909.90792;"2024-01-07T00:00:00.000Z"
"2783";0.5018947022;0.5079876969;0.4953031095;0.5079186821;1365177612.204483;44898617536.73824;"2024-01-08T00:00:00.000Z"
"2783";0.507961469;0.5090713054;0.4980396381;0.5042409464;1302641377.6854746;44181122013.364204;"2024-01-09T00:00:00.000Z"
"2783";0.5042265854;0.5175792469;0.5042265854;0.5151450931;1541270930.3757482;45597265473.06196;"2024-01-10T00:00:00.000Z"
"2783";0.5151942368;0.5256257835;0.5128281604;0.517453143;1656850551.0306678;45870057815.46257;"2024-01-11T00:00:00.000Z"
"2783";0.5174068714;0.5236711137;0.5137090024;0.5190260426;1666256809.3428009;45962139765.033424;"2024-01-12T00:00:00.000Z"
"2783";0.5189611305;0.5629657984;0.5157897649;0.5541720044;2985916576.875326;48894493069.41692;"2024-01-13T00:00:00.000Z"
"2783";0.554173164;0.5705057544;0.5394359059;0.5395434028;1767027176.5758452;47616409786.25975;"2024-01-14T00:00:00.000Z"
"2783";0.539475888;0.5548557021;0.5247650142;0.528849761;1624110564.141161;46565704599.61059;"2024-01-15T00:00:00.000Z"
"2783";0.5287203021;0.5368501892;0.5265155825;0.532439178;1336983407.1859407;46371138043.141655;"2024-01-16T00:00:00.000Z"
