name;open;high;low;close;volume;marketCap;timestamp
"2783";1.6212046852;3.193;1.612875177;3.193;105.1479;714040.8000001956;"2015-03-01T00:00:00.000Z"
"2783";3.193;3.193;3.0137;3.0137;1957.5325099975;803358.7999989797;"2015-04-01T00:00:00.000Z"
"2783";3.0137;3.1757;3.0137;3.1757;7601.6966059955;1360986.9199991964;"2015-05-01T00:00:00.000Z"
"2783";3.1757;3.1757;3.1017;3.1017;1500756.427498293;1434146.119998369;"2015-06-01T00:00:00.000Z"
"2783";3.1017;3.4219;3.1017;3.4219;342.0554759998;1400727.719999171;"2015-07-01T00:00:00.000Z"
"2783";3.4219;3.6213;3.4219;3.6213;24027.5210109915;1545330.0399994545;"2015-08-01T00:00:00.000Z"
"2783";3.6213;3.949;3.6213;3.949;517780.716600643;1635379.0800020308;"2015-09-01T00:00:00.000Z"
"2783";3.949;3.949;3.8562;3.8562;104124.4676999724;1783368.3999995275;"2015-10-01T00:00:00.000Z"
"2783";3.8562;3.8703;3.8562;3.8703;2544027.688801811;1741459.92000124;"2015-11-01T00:00:00.000Z"
"2783";3.8697;4.0118084421;3.8175884805;3.9593;27069.0545609939;3682406.5199991716;"2015-12-01T00:00:00.000Z"
"2783";3.9593;4.0451538011;3.9593;3.9965959503;41117.3305000766;5747314.139025709;"2016-01-01T00:00:00.000Z"
"2783";3.9965959503;4.0153804151;3.9965959503;4.0153804151;309865.5901795812;5801580.581290159;"2016-02-01T00:00:00.000Z"
"2783";4.0153804151;4.0158845023;3.5804626377;3.5892;593248.529100059;5828573.342300579;"2016-03-01T00:00:00.000Z"
"2783";3.5896;3.5896;3.4345;3.4345;1630676.3088017767;7005431.053607633;"2016-04-01T00:00:00.000Z"
"2783";3.4345;3.5863;3.4345;3.5863;8861937.31499704;6702739.289497761;"2016-05-01T00:00:00.000Z"
"2783";3.5865;3.5865;3.2123;3.2123;4743325.575000347;21345381.121501558;"2016-06-01T00:00:00.000Z"
"2783";3.2123;3.3059280718;3.2123;3.2479797733;2868705.967397569;22329769.53359808;"2016-07-01T00:00:00.000Z"
"2783";3.247976482;3.247976482;3.0226900544;3.226;2950820.8956020265;22579462.72711551;"2016-08-01T00:00:00.000Z"
"2783";3.226;3.2616346654;3.226;3.261;1298619.8479997194;22425832.404695157;"2016-09-01T00:00:00.000Z"
"2783";3.261;3.261;3.1982;3.1982;3333459.4199961633;22669134.109503906;"2016-10-01T00:00:00.000Z"
"2783";3.1982;3.4063;3.1982;3.4063;1653846.7875978986;22232574.24247575;"2016-11-01T00:00:00.000Z"
"2783";3.4063;3.4769809544;3.2532325762;3.2532325762;2641381.2720006024;33898439.05821973;"2016-12-01T00:00:00.000Z"
"2783";3.2532325762;3.2532325762;3.1273439411;3.1509906093;8988396.407990793;81172271.75352085;"2017-01-01T00:00:00.000Z"
"2783";3.1509906093;3.1509906093;2.6519139372;3.1084068036;17511083.809999283;78618224.86240678;"2017-02-01T00:00:00.000Z"
"2783";3.1084129179;3.122;3.0721671004;3.122;106048964.30012211;170814734.5084567;"2017-03-01T00:00:00.000Z"
"2783";3.1220625248;3.1260272667;2.8749072091;2.9715135326;74115967.80008969;184303945.382423;"2017-04-01T00:00:00.000Z"
"2783";2.9715167465;3.9437386984;2.8466401179;3.3432466521;268778027.5072795;345100914.1075681;"2017-05-01T00:00:00.000Z"
"2783";3.3412786896;3.624577111;3.1686958542;3.3252741437;234062100.48036033;697613899.0308659;"2017-06-01T00:00:00.000Z"
"2783";3.3403825879;3.4372814083;3.0829528721;3.1299771112;248561266.1759831;1057242779.1569881;"2017-07-01T00:00:00.000Z"
"2783";3.1357932149;3.260421628;2.9788540804;3.1572197165;341532480.69982547;1002220989.4088418;"2017-08-01T00:00:00.000Z"
"2783";3.1601470216;3.2449880509;3.0193360821;3.1522900605;369539381.3994672;1370776458.2291355;"2017-09-01T00:00:00.000Z"
"2783";3.1547512472;3.2988231792;3.1119610047;3.2732223734;582641338.8001281;1431067215.0955186;"2017-10-01T00:00:00.000Z"
"2783";3.2745305606;3.6249516131;3.100215993;3.2991081674;3414721420.6691794;2519266439.846857;"2017-11-01T00:00:00.000Z"
"2783";3.2961627287;3.5973633955;3.196781282;3.3527062141;6306333083.079198;4532101403.400966;"2017-12-01T00:00:00.000Z"
