open;high;low;close;volume;marketCap;timestamp
0.9996877096;0.9998440494;0.9996206792;0.9997714703;16348780893.79;66248570201.82;"2023-01-02T00:00:00.000Z"
0.9997833396;0.9998963664;0.9997219732;0.9997592963;18233713872.98;66247763508.33;"2023-01-03T00:00:00.000Z"
0.9997508929;0.9998687533;0.9997206466;0.9997626565;24715975398.58;66247986169.54;"2023-01-04T00:00:00.000Z"
0.9997539963;0.9999045475;0.9996941216;0.9996966036;19334292777.22;66243609255.29;"2023-01-05T00:00:00.000Z"
0.999710426;0.999845917;0.9996263664;0.9997377928;20350836697.26;66255113260.69;"2023-01-06T00:00:00.000Z"
0.9997324193;0.999907359;0.9996969187;0.999895889;11626878300.64;66265590691.59;"2023-01-07T00:00:00.000Z"
0.999895408;1.000019205;0.9998437284;0.9999566431;14853747515.45;66269617017.21;"2023-01-08T00:00:00.000Z"
0.9999446333;1.0000692527;0.9999000959;0.9999994114;31331363114.67;66272451375.85;"2023-01-09T00:00:00.000Z"
0.9999969924;1.0001404475;0.9999206716;1.0001000395;23843949758.2;66279120254.45;"2023-01-10T00:00:00.000Z"
1.0000942699;1.0001613385;0.9999668216;1.0000186335;25576360685.71;66273821586.34;"2023-01-11T00:00:00.000Z"
1.0000102755;1.0001497446;0.9999649182;1.0000920492;41556485542.01;66278686898.65;"2023-01-12T00:00:00.000Z"
1.000120694;1.0002192045;1.0000433854;1.000213962;35704375577.25;66286766010.73;"2023-01-13T00:00:00.000Z"
1.0002067385;1.0004025575;1.0001194984;1.0001572213;53708266585.11;66283004520.27;"2023-01-14T00:00:00.000Z"
1.0001439631;1.0005025704;1.0001137611;1.000373729;30028224816.01;66380183923.94;"2023-01-15T00:00:00.000Z"
1.0003482983;1.0004521444;1.0000901472;1.0001260784;35957366328.96;66363754798.33;"2023-01-16T00:00:00.000Z"
1.0001298127;1.0002833736;1.00006079;1.0001033965;32250868598.11;66491710111.57;"2023-01-17T00:00:00.000Z"
1.0001062839;1.0002971013;0.9999718677;0.9999899063;40496222407.76;66484164731.05;"2023-01-18T00:00:00.000Z"
0.9999902631;1.0000947163;0.9999473377;1.0000232995;25966707877.64;66486384877.19;"2023-01-19T00:00:00.000Z"
1.0000057223;1.0002425129;0.9999737577;1.0001789065;33794858528.05;66496730383.61;"2023-01-20T00:00:00.000Z"
1.0001831839;1.0004087648;1.0001281667;1.0002169841;40470629184.14;66499261962.97;"2023-01-21T00:00:00.000Z"
1.0002239271;1.000267056;1.0001302171;1.0002343984;32852491604.52;66713141592.86;"2023-01-22T00:00:00.000Z"
1.0002203287;1.0002457388;1.0000913993;1.0002044117;35271449760.16;66757951121.67;"2023-01-23T00:00:00.000Z"
1.0002012507;1.0003280162;1.0000824803;1.0001303348;34777970359.46;66863090248.8;"2023-01-24T00:00:00.000Z"
1.0001288916;1.0002989299;1.0000928528;1.0001754629;39242817275.65;67120135817.39;"2023-01-25T00:00:00.000Z"
1.0001932964;1.0002688539;1.0000598252;1.0000817045;34910787321.18;67193850383.25;"2023-01-26T00:00:00.000Z"
1.0000875247;1.0002789702;1.0000554728;1.0001817304;34658058512.22;67337515831.93;"2023-01-27T00:00:00.000Z"
1.0001757417;1.0002969096;1.0001317318;1.0001942362;23967491540.12;67517556583.3;"2023-01-28T00:00:00.000Z"
1.0002024193;1.0003101068;1.0000919903;1.0000992744;33570913369.15;67626927729.24;"2023-01-29T00:00:00.000Z"
1.0000893847;1.0001572081;1.0000370429;1.000093069;37178895588.84;67782342614.27;"2023-01-30T00:00:00.000Z"
1.0000809064;1.0001691632;0.9999943187;1.0001167624;31416134222.3;67819253147.61;"2023-01-31T00:00:00.000Z"
1.0001378741;1.0002384683;1.0000483363;1.000097826;36688644470.66;67799609229.13;"2023-02-01T00:00:00.000Z"
1.0000876485;1.0003275579;1.0000825451;1.0001400705;43575657052.36;67824776233.54;"2023-02-02T00:00:00.000Z"
1.0001416582;1.0002758297;1.0000775039;1.0001313198;36792033813.78;68037530807.22;"2023-02-03T00:00:00.000Z"
1.0001221902;1.0001623279;1.0000544306;1.0001002099;24493083192.94;68035414442.1;"2023-02-04T00:00:00.000Z"
1.0000933348;1.0002681303;1.0000887182;1.000198018;30313569701.95;68078110242.74;"2023-02-05T00:00:00.000Z"
1.0002087069;1.0002736501;1.0000668676;1.0001022765;32088027093.5;68071593635.6;"2023-02-06T00:00:00.000Z"
1.000095676;1.0002744419;1.0000303197;1.0000766051;39183502891.73;68188005371.74;"2023-02-07T00:00:00.000Z"
1.0000876431;1.0002429834;1.0000389798;1.0001310624;39133872723.33;68191318367.31;"2023-02-08T00:00:00.000Z"
1.0001285249;1.0002670288;1.000032;1.0001589085;47895876169.45;68193216975.64;"2023-02-09T00:00:00.000Z"
1.0001566969;1.0003648497;1.0001155546;1.0001530211;37581182134.34;68194815870.16;"2023-02-10T00:00:00.000Z"
1.0002111376;1.0002572232;1.0000898614;1.0001627151;22803314100.56;68330558641.57;"2023-02-11T00:00:00.000Z"
1.0001466388;1.0002861782;1.0001083414;1.0002100799;24662650243.65;68401008692.56;"2023-02-12T00:00:00.000Z"
1.0002126607;1.0024961408;1.0001674494;1.0009326993;41054083636.57;68475449527.07;"2023-02-13T00:00:00.000Z"
1.0009231699;1.0011343895;1.000355273;1.0004040413;40374822814.85;69210319564.08;"2023-02-14T00:00:00.000Z"
1.0004052721;1.0005470807;1.0001769753;1.0002184529;44524116300.61;69507446814.31;"2023-02-15T00:00:00.000Z"
1.0002246692;1.0003160849;1.0000940341;1.0001634308;57045633961.32;69797136165.66;"2023-02-16T00:00:00.000Z"
1.000162739;1.0002435279;1.0001013977;1.0002206654;53478834232.88;70169721623.99;"2023-02-17T00:00:00.000Z"
1.0002147277;1.0003306123;1.0001453356;1.0001818054;30777314970.57;70306720827.44;"2023-02-18T00:00:00.000Z"
1.0001807325;1.000291012;1.000155117;1.000236521;39281755450.52;70419857844.86;"2023-02-19T00:00:00.000Z"
1.0002476729;1.0002827271;1.0001166801;1.0001874906;44403471554.25;70416405948.11;"2023-02-20T00:00:00.000Z"
1.0001813335;1.0002232049;1.0000781977;1.0001320345;45397558230.24;70448766451.21;"2023-02-21T00:00:00.000Z"
1.0001461833;1.000368395;1.0000675165;1.0000990075;43805622619.02;70466752056.61;"2023-02-22T00:00:00.000Z"
1.0000959176;1.000215834;1.0000593365;1.0001243505;40733371959.18;70599373896.91;"2023-02-23T00:00:00.000Z"
1.0001169139;1.0002265862;1.0000251584;1.0000701414;39747788121.15;70692707055.2;"2023-02-24T00:00:00.000Z"
1.0000717404;1.0001750831;1.0000501317;1.000132146;25281973905.87;70807584542.65;"2023-02-25T00:00:00.000Z"
1.0001322291;1.0001759536;1.0000523066;1.0000871926;23103836401.25;70853056161.11;"2023-02-26T00:00:00.000Z"
1.0000797776;1.0001956644;1.0000474106;1.0001746993;31170898345.68;70896112177.29;"2023-02-27T00:00:00.000Z"
1.0001403054;1.0002552825;1.0000776343;1.0001539861;29878544329.34;70941051092.61;"2023-02-28T00:00:00.000Z"
1.0001689777;1.0003229939;1.0000697505;1.0001440756;33994082292.77;70978653648.43;"2023-03-01T00:00:00.000Z"
1.0001316535;1.0003213622;1.000023044;1.000090924;28824873445.84;71069270125.65;"2023-03-02T00:00:00.000Z"
1.0000845342;1.000359683;1.0000578758;1.0001001303;37747411844.94;71123749440.56;"2023-03-03T00:00:00.000Z"
1.0000978079;1.0002426335;1.000071837;1.000113979;18409338906.96;71367261624.03;"2023-03-04T00:00:00.000Z"
1.0001185997;1.0002384797;1.0000533932;1.0001066957;19088160146.85;71450370818.94;"2023-03-05T00:00:00.000Z"
1.0000975802;1.0001668028;0.999974311;1.0000108544;24736796654.55;71480244045.01;"2023-03-06T00:00:00.000Z"
1.0000171557;1.0000811127;0.9999359124;1.0000134687;31500223933.25;71592425628.14;"2023-03-07T00:00:00.000Z"
1.0000155608;1.0000482747;0.99996251;1.0000066107;31323198702.77;71736909135.13;"2023-03-08T00:00:00.000Z"
1.0000059227;1.0000433809;0.9998157786;0.9999858088;41653343124.01;71739464275.28;"2023-03-09T00:00:00.000Z"
0.9999785935;1.0034197301;0.999865717;1.0030472207;55191206438.49;71979477537.98;"2023-03-10T00:00:00.000Z"
1.0030247854;1.0296284355;1.0027961384;1.00769;65038416671.1;72628751184.14;"2023-03-11T00:00:00.000Z"
1.00769;1.0162923972;1.0059388132;1.0071485791;48442153749.57;72632240658.18;"2023-03-12T00:00:00.000Z"
1.0073664361;1.011596482;1.001292161;1.0038696981;72852500939.22;72834565865.64;"2023-03-13T00:00:00.000Z"
1.0040521377;1.006482015;1.0018519939;1.0032473032;74778462452.56;73136281603.01;"2023-03-14T00:00:00.000Z"
1.0031707502;1.005407321;1.0012775625;1.0039460745;62575628923.42;73688347084.95;"2023-03-15T00:00:00.000Z"
1.0039457176;1.0044476729;1.0011288068;1.002133873;46345690964.98;74410346747.13;"2023-03-16T00:00:00.000Z"
1.0021778843;1.0037189989;1.0008042552;1.0023259243;61866017598.3;75346033751.95;"2023-03-17T00:00:00.000Z"
1.0021966896;1.003585231;1.0011385402;1.0023366906;47735900215.92;76359029716.02;"2023-03-18T00:00:00.000Z"
1.0023688342;1.0034241112;1.001169033;1.0030073377;44405090364.52;76450055219.48;"2023-03-19T00:00:00.000Z"
1.0030471336;1.0038020237;1.000975823;1.0017904003;54497686906.72;76246216707.73;"2023-03-20T00:00:00.000Z"
1.0018075982;1.0035555624;0.9999801714;1.0015359695;49904460369.15;76974469335.53;"2023-03-21T00:00:00.000Z"
1.0014977241;1.0028355102;0.9996395227;1.001878672;50711682140.52;77581818037.01;"2023-03-22T00:00:00.000Z"
1.0019170736;1.0031472138;0.9999346388;1.0009596826;39641340671.47;78121147531.73;"2023-03-23T00:00:00.000Z"
1.0011796024;1.0017193552;1.000027095;1.0012586994;40600299922.86;78584893830.34;"2023-03-24T00:00:00.000Z"
1.0011481404;1.0016661584;1.0002505908;1.0008483813;22544554979.49;79089332696.14;"2023-03-25T00:00:00.000Z"
1.0009040596;1.0011966113;1.0001069464;1.0008931913;21431041961.94;79092873689.21;"2023-03-26T00:00:00.000Z"
1.0007235389;1.0010647452;0.9997340321;1.0002330632;29216004744.14;79198869532.84;"2023-03-27T00:00:00.000Z"
1.0000472597;1.0005925763;0.9996050007;1.0003072916;27305773764.81;79480373920.42;"2023-03-28T00:00:00.000Z"
1.0001798083;1.0006938239;0.9991164142;0.9999885313;32050016572.45;79519982629.33;"2023-03-29T00:00:00.000Z"
1.0000875384;1.0006957998;0.9994580193;1.0000931901;34935146978.63;79648319998.92;"2023-03-30T00:00:00.000Z"
1.0000610396;1.0006376318;0.9996331096;1.0001239899;29809423852.96;79682243497.42;"2023-03-31T00:00:00.000Z"
1.000078429;1.0006852427;0.9997185649;1.0003011302;19879792202.35;79717859040.34;"2023-04-01T00:00:00.000Z"
1.0002081919;1.0006383991;0.9997298633;1.0002369161;21255417928.78;79712741574.79;"2023-04-02T00:00:00.000Z"
1.0003593398;1.0008227433;0.9996259121;1.0001827905;33940605509.74;79817448013.55;"2023-04-03T00:00:00.000Z"
0.9999634853;1.0007805698;0.9991963571;1.0002135973;28651211704.11;79925744083.03;"2023-04-04T00:00:00.000Z"
1.0001703864;1.0005300838;0.999556935;1.0001295596;29374587799.51;80014930164.44;"2023-04-05T00:00:00.000Z"
1.0001648655;1.0007500383;0.9996177116;1.0005543343;23758252948.61;80152190395.7;"2023-04-06T00:00:00.000Z"
1.0003584418;1.0009989243;0.9995724888;1.0006334667;19099660089.9;80246186915.92;"2023-04-07T00:00:00.000Z"
1.0004843437;1.0009648668;0.9999806256;1.0004237292;18174194744.2;80229366937.32;"2023-04-08T00:00:00.000Z"
1.0004554124;1.0009674931;0.999873119;1.000457912;19753710645.84;80247267378.84;"2023-04-09T00:00:00.000Z"
1.0005167486;1.0011304259;0.9998928991;1.0004368853;27938130200.08;80368189247.06;"2023-04-10T00:00:00.000Z"
1.0004933282;1.0011268213;0.9999523425;1.001030481;30207674345.38;80519001546.28;"2023-04-11T00:00:00.000Z"
1.0009599334;1.0015296914;1.0000285741;1.0007206255;30471411545.11;80636864902.92;"2023-04-12T00:00:00.000Z"
1.0002383596;1.0014679538;1.0002346347;1.0009772483;30853738918.5;80657543260.26;"2023-04-13T00:00:00.000Z"
1.0010594375;1.0013363593;0.9999353755;1.0007217202;43263085147.71;80823595399.03;"2023-04-14T00:00:00.000Z"
1.0007954282;1.0012896823;1.0002922939;1.0007802394;23715727388.47;80974942537.84;"2023-04-15T00:00:00.000Z"
1.0006971833;1.0011877856;0.9997409178;1.0005360635;24405645674.87;80965191181.81;"2023-04-16T00:00:00.000Z"
1.0004101252;1.0010241085;0.9999135383;1.0005296347;32406207872.24;80974676248.86;"2023-04-17T00:00:00.000Z"
1.0006402192;1.0008749869;0.9998821263;1.0004084859;32344221198.7;81094385069.77;"2023-04-18T00:00:00.000Z"
1.0004391953;1.0009929851;0.9999420119;1.0005590262;42801912253.91;81231393888.77;"2023-04-19T00:00:00.000Z"
1.0003283738;1.0009901837;0.9996536734;1.0002207705;36282233270.12;81317221248.69;"2023-04-20T00:00:00.000Z"
1.0002440951;1.0006253135;0.9994692291;1.0001423024;34553496031.18;81417332932.2;"2023-04-21T00:00:00.000Z"
1.0001397448;1.0008676282;0.9995870442;1.0001849814;20337083600.62;81436930422.2;"2023-04-22T00:00:00.000Z"
1.0001385327;1.0007722871;0.999698247;1.0000229905;19881820238.1;81443741281.11;"2023-04-23T00:00:00.000Z"
1.0000271913;1.0007996601;0.9996684673;1.0001206955;25519663344.48;81461699758.72;"2023-04-24T00:00:00.000Z"
1.000106184;1.0004870678;0.999691431;1.0001588619;25931247321.58;81551703655.07;"2023-04-25T00:00:00.000Z"
1.0000792457;1.0008960099;0.9995847435;1.0002824194;43664074715.8;81599877414.72;"2023-04-26T00:00:00.000Z"
